Order ID,Order Status,Warehouse Code,Order Place Date,Required Ship Date,Ship Method,Ship Method Code,Ship To Name,Ship To Address Line 1,Ship To Address Line 2,Ship To Address Line 3,Ship To City,Ship To State,Ship To ZIP Code,Ship To Country,Phone Number,Is it Gift?,Item Cost,SKU,ASIN,Item Title,Item Quantity,Gift Message,Tracking ID,Shipped Date
Uw0YNzwdt,SHIPPED,EIHR,"29 Feb, 2024 3:30:20 PM IST","1 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz14,hill station 14,town 14,,city 14,state 14,244713,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T14,Product 14,1,,3.39982E+11,"1 Mar, 2024 11:16:27 AM IST"
Ugw8YkwMt,SHIPPED,EIHR,"29 Feb, 2024 6:01:30 PM IST","1 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz15,hill station 15,town 15,,city 15,state 15,441108,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T15,Product 15,1,,3.39982E+11,"1 Mar, 2024 11:16:27 AM IST"
UJ0jJJwXt,SHIPPED,EIHR,"29 Feb, 2024 9:11:55 PM IST","1 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz16,hill station 16,town 16,,city 16,state 16,560099,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T16,Product 16,1,,3.39982E+11,"1 Mar, 2024 11:16:27 AM IST"
Uww6DYZvt,SHIPPED,EIHR,"1 Mar, 2024 8:41:50 AM IST","1 Mar, 2024 2:00:00 PM IST",ATS_AIR,ATS_AIR,xyz17,hill station 17,town 17,,city 17,state 17,700039,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T17,Product 17,1,,2.05926E+11,"1 Mar, 2024 11:16:27 AM IST"
UwF3QKZmt,SHIPPED,EIHR,"1 Mar, 2024 10:34:38 AM IST","1 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz18,hill station 18,town 18,,city 18,state 18,560070,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T18,Product 18,1,,3.39982E+11,"1 Mar, 2024 11:16:27 AM IST"
Unw6L6ZCt,SHIPPED,EIHR,"1 Mar, 2024 10:38:10 AM IST","1 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz19,hill station 19,town 19,,city 19,state 19,221008,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T19,Product 19,1,,3.39982E+11,"1 Mar, 2024 11:16:27 AM IST"
U6vKrqZ3t,SHIPPED,EIHR,"1 Mar, 2024 11:27:17 AM IST","1 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz20,hill station 20,town 20,,city 20,state 20,500075,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T20,Product 20,1,,3.39982E+11,"1 Mar, 2024 11:16:27 AM IST"
U6hKsRZ4t,SHIPPED,EIHR,"1 Mar, 2024 11:32:19 AM IST","1 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz21,hill station 21,town 21,,city 21,state 21,532127,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T21,Product 21,1,,3.39982E+11,"1 Mar, 2024 11:16:27 AM IST"
U1fh1RZJt,SHIPPED,EIHR,"1 Mar, 2024 11:42:07 AM IST","1 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz22,hill station 22,town 22,,city 22,state 22,791102,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T22,Product 22,1,,3.39983E+11,"1 Mar, 2024 11:16:27 AM IST"
UCztsNZVt,SHIPPED,EIHR,"1 Mar, 2024 11:42:17 AM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz23,hill station 23,town 23,,city 23,state 23,175101,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T23,Product 23,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
UVrJCHZlt,SHIPPED,EIHR,"1 Mar, 2024 4:05:23 PM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz24,hill station 24,town 24,,city 24,state 24,505327,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T24,Product 24,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
U6JNhJZbt,SHIPPED,EIHR,"1 Mar, 2024 7:24:21 PM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz25,hill station 25,town 25,,city 25,state 25,131001,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T25,Product 25,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
U3jQRMbBt,SHIPPED,EIHR,"1 Mar, 2024 8:06:10 PM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz26,hill station 26,town 26,,city 26,state 26,474005,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T26,Product 26,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
U3crftZLt,SHIPPED,EIHR,"1 Mar, 2024 3:00:08 PM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz27,hill station 27,town 27,,city 27,state 27,737101,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T27,Product 27,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
UVKNhMZjt,SHIPPED,EIHR,"1 Mar, 2024 9:00:45 PM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz28,hill station 28,town 28,,city 28,state 28,560035,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T28,Product 28,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
UGD8Htb7t,SHIPPED,EIHR,"1 Mar, 2024 9:20:34 PM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz29,hill station 29,town 29,,city 29,state 29,211002,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T29,Product 29,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
UG65Bhbbt,SHIPPED,EIHR,"1 Mar, 2024 10:09:31 PM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz30,hill station 30,town 30,,city 30,state 30,335512,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T30,Product 30,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
UXHVwdb9t,SHIPPED,EIHR,"1 Mar, 2024 10:14:28 PM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz31,hill station 31,town 31,,city 31,state 31,695003,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T31,Product 31,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
UXHVwdb9t,SHIPPED,EIHR,"1 Mar, 2024 10:14:28 PM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz32,hill station 32,town 32,,city 32,state 32,695003,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T32,Product 32,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
UJBSvpbht,SHIPPED,EIHR,"1 Mar, 2024 11:17:06 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz33,hill station 33,town 33,,city 33,state 33,110007,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T33,Product 33,3,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UXWYstbjt,SHIPPED,EIHR,"2 Mar, 2024 12:31:09 AM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz34,hill station 34,town 34,,city 34,state 34,201003,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T34,Product 34,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
U1M1Pyb2t,SHIPPED,EIHR,"2 Mar, 2024 4:30:16 AM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz35,hill station 35,town 35,,city 35,state 35,248143,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T35,Product 35,2,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
UgSHnPbYt,SHIPPED,EIHR,"2 Mar, 2024 4:55:51 AM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz36,hill station 36,town 36,,city 36,state 36,800020,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T36,Product 36,1,,3.40002E+11,"2 Mar, 2024 11:17:51 AM IST"
Ugl6Tmb4t,SHIPPED,EIHR,"26 Feb, 2024 11:25:53 PM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz37,hill station 37,town 37,,city 37,state 37,560073,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T37,Product 37,1,,3.40002E+11,"2 Mar, 2024 11:17:51 AM IST"
U6G46qbst,SHIPPED,EIHR,"2 Mar, 2024 7:04:21 AM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz38,hill station 38,town 38,,city 38,state 38,136027,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T38,Product 38,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
UGn5Scbgt,SHIPPED,EIHR,"2 Mar, 2024 8:17:39 AM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz39,hill station 39,town 39,,city 39,state 39,110077,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T39,Product 39,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
UVthllbjt,SHIPPED,EIHR,"2 Mar, 2024 9:29:08 AM IST","2 Mar, 2024 2:00:00 PM IST",ATS_AFTERNOON,ATS_AFTERNOON,xyz40,hill station 40,town 40,,city 40,state 40,226013,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T40,Product 40,1,,1.59763E+11,"2 Mar, 2024 11:17:51 AM IST"
U6zzmQbBt,SHIPPED,EIHR,"2 Mar, 2024 10:31:41 AM IST","2 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz41,hill station 41,town 41,,city 41,state 41,600053,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T41,Product 41,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
U1MpXQbct,SHIPPED,EIHR,"2 Mar, 2024 12:01:36 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz42,hill station 42,town 42,,city 42,state 42,151203,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T42,Product 42,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UJQbp2bWt,SHIPPED,EIHR,"2 Mar, 2024 12:12:56 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz43,hill station 43,town 43,,city 43,state 43,122001,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T43,Product 43,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
U1KbXybbt,SHIPPED,EIHR,"2 Mar, 2024 12:14:23 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz44,hill station 44,town 44,,city 44,state 44,700092,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T44,Product 44,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
U3dfZ8b4t,SHIPPED,EIHR,"2 Mar, 2024 12:31:37 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz45,hill station 45,town 45,,city 45,state 45,201310,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T45,Product 45,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UN5pqDb3t,SHIPPED,EIHR,"2 Mar, 2024 12:50:04 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz46,hill station 46,town 46,,city 46,state 46,842001,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T46,Product 46,2,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
U1BSpNb2t,SHIPPED,EIHR,"2 Mar, 2024 12:55:56 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz47,hill station 47,town 47,,city 47,state 47,721607,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T47,Product 47,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
U3rL5Rbmt,SHIPPED,EIHR,"2 Mar, 2024 1:06:54 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz48,hill station 48,town 48,,city 48,state 48,382345,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T48,Product 48,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UnKQqtbVt,SHIPPED,EIHR,"2 Mar, 2024 1:40:00 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz49,hill station 49,town 49,,city 49,state 49,627807,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T49,Product 49,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UC8XhTb5t,SHIPPED,EIHR,"2 Mar, 2024 1:41:27 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz50,hill station 50,town 50,,city 50,state 50,500008,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T50,Product 50,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UCpgCLblt,SHIPPED,EIHR,"2 Mar, 2024 1:58:14 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz51,hill station 51,town 51,,city 51,state 51,800007,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T51,Product 51,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UcB8R8ttt,SHIPPED,EIHR,"2 Mar, 2024 3:17:21 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz52,hill station 52,town 52,,city 52,state 52,425309,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T52,Product 52,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
U6dhh3b1t,SHIPPED,EIHR,"2 Mar, 2024 3:20:24 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz53,hill station 53,town 53,,city 53,state 53,500039,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T53,Product 53,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
U1ycbWtft,SHIPPED,EIHR,"2 Mar, 2024 3:48:03 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz54,hill station 54,town 54,,city 54,state 54,444605,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T54,Product 54,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UCjq9gtVt,SHIPPED,EIHR,"2 Mar, 2024 4:12:53 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz55,hill station 55,town 55,,city 55,state 55,400702,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T55,Product 55,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
Uct8cRtMt,SHIPPED,EIHR,"2 Mar, 2024 7:07:48 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz56,hill station 56,town 56,,city 56,state 56,140507,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T56,Product 56,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UXGkLDtbt,SHIPPED,EIHR,"2 Mar, 2024 7:27:25 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz57,hill station 57,town 57,,city 57,state 57,600031,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T57,Product 57,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
Uw9FLmt0t,SHIPPED,EIHR,"2 Mar, 2024 7:44:18 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz58,hill station 58,town 58,,city 58,state 58,201304,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T58,Product 58,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UCfgrNt6t,SHIPPED,EIHR,"2 Mar, 2024 8:05:08 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz59,hill station 59,town 59,,city 59,state 59,560016,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T59,Product 59,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
U6Mb1Ptlt,SHIPPED,EIHR,"2 Mar, 2024 9:29:40 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz60,hill station 60,town 60,,city 60,state 60,121101,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T60,Product 60,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UVWgS9tct,SHIPPED,EIHR,"2 Mar, 2024 6:28:14 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz61,hill station 61,town 61,,city 61,state 61,530014,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T61,Product 61,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UX4V6ttzt,SHIPPED,EIHR,"2 Mar, 2024 10:46:35 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz62,hill station 62,town 62,,city 62,state 62,263139,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T62,Product 62,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UVs7nbttt,SHIPPED,EIHR,"2 Mar, 2024 10:55:46 PM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz63,hill station 63,town 63,,city 63,state 63,160062,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T63,Product 63,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
U69KWXt3t,SHIPPED,EIHR,"3 Mar, 2024 12:21:36 AM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz64,hill station 64,town 64,,city 64,state 64,600122,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T64,Product 64,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UGSr5vtHt,SHIPPED,EIHR,"3 Mar, 2024 2:21:32 AM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz65,hill station 65,town 65,,city 65,state 65,201009,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T65,Product 65,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UV1tNyVft,SHIPPED,EIHR,"3 Mar, 2024 5:27:24 AM IST","5 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz66,hill station 66,town 66,,city 66,state 66,181206,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T66,Product 66,1,,3.40062E+11,"5 Mar, 2024 11:57:26 AM IST"
UVGzkdVjt,SHIPPED,EIHR,"3 Mar, 2024 6:22:07 AM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz67,hill station 67,town 67,,city 67,state 67,641041,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T67,Product 67,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UcvV4wVdt,SHIPPED,EIHR,"3 Mar, 2024 7:29:50 AM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz68,hill station 68,town 68,,city 68,state 68,854311,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T68,Product 68,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
UJW2kNVpt,SHIPPED,EIHR,"3 Mar, 2024 7:32:03 AM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz69,hill station 69,town 69,,city 69,state 69,625009,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T69,Product 69,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
U1FJR0VZt,SHIPPED,EIHR,"3 Mar, 2024 7:51:30 AM IST","4 Mar, 2024 2:00:00 PM IST",ATS_AIR,ATS_AIR,xyz70,hill station 70,town 70,,city 70,state 70,560068,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T70,Product 70,1,,2.0593E+11,"4 Mar, 2024 12:10:55 PM IST"
UNzcYcVkt,SHIPPED,EIHR,"3 Mar, 2024 8:17:11 AM IST","4 Mar, 2024 2:00:00 PM IST",ATS_AIR,ATS_AIR,xyz71,hill station 71,town 71,,city 71,state 71,560097,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T71,Product 71,1,,2.0593E+11,"4 Mar, 2024 12:10:55 PM IST"
UwmFwZV2t,SHIPPED,EIHR,"3 Mar, 2024 8:40:15 AM IST","4 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz72,hill station 72,town 72,,city 72,state 72,344022,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T72,Product 72,1,,3.4004E+11,"4 Mar, 2024 12:10:55 PM IST"
